iter	MultiClass
0	1.061971641
1	1.029716509
2	0.9962932056
3	0.96374518
4	0.9422781657
5	0.9220545741
6	0.9002995773
7	0.8791448557
8	0.8630881643
9	0.8432484799
10	0.8327516371
11	0.8245946497
12	0.8135721931
13	0.8004935118
14	0.7890663308
15	0.7800739329
16	0.7722375535
17	0.7651445779
18	0.7574174933
19	0.7515863508
20	0.7463562139
21	0.7394923807
22	0.7353904579
23	0.7289404353
24	0.7209321133
25	0.7175584418
26	0.7089678376
27	0.6997511055
28	0.6914704735
29	0.6833681877
30	0.6796750445
31	0.6734161919
32	0.6683423108
33	0.6608929691
34	0.6534087078
35	0.6475338162
36	0.6435547621
37	0.6351171156
38	0.6312166971
39	0.6239082385
40	0.6212817106
41	0.6157201561
42	0.6097754413
43	0.6051416587
44	0.6015141276
45	0.5982622259
46	0.5929817438
47	0.5876865062
48	0.584385754
49	0.5795884159
50	0.5755547932
51	0.5656617177
52	0.559017929
53	0.5543147124
54	0.5491585672
55	0.5449540568
56	0.5405699839
57	0.5360394768
58	0.5329823328
59	0.5292622084
60	0.5261769699
61	0.520627719
62	0.5180659848
63	0.5123427298
64	0.5084319797
65	0.5060330074
66	0.5015026925
67	0.494833094
68	0.4908458796
69	0.4871721789
70	0.4829212619
71	0.4767368782
72	0.4733942204
73	0.4686587091
74	0.4636511632
75	0.4594751739
76	0.4557086691
77	0.4502085799
78	0.4414339844
79	0.4376935737
80	0.4326706269
81	0.4291878652
82	0.4254636828
83	0.4206285474
84	0.4169861001
85	0.4125142631
86	0.4077657602
87	0.4001260887
88	0.3972437776
89	0.394447436
90	0.3882786873
91	0.3857070145
92	0.3808817076
93	0.3771867123
94	0.3740423806
95	0.3708120829
96	0.3671477225
97	0.3641377207
98	0.3589341593
99	0.3553285954
100	0.3519838962
101	0.3480368274
102	0.3458999902
103	0.342388244
104	0.3395475025
105	0.3346081933
106	0.3320915213
107	0.329219266
108	0.3263940045
109	0.3216743086
110	0.3203110372
111	0.3162500665
112	0.3147836594
113	0.3115758333
114	0.309045415
115	0.3062305107
116	0.3034614294
117	0.3023227941
118	0.3008205736
119	0.2982323598
120	0.2955361282
121	0.2917195074
122	0.2904183716
123	0.2871392026
124	0.2845164499
125	0.2827207529
126	0.2805570161
127	0.2781903932
128	0.2753423128
129	0.2732555734
130	0.2707661653
131	0.2680116106
132	0.2653890622
133	0.2624537546
134	0.2611685704
135	0.2583551243
136	0.2566398943
137	0.2552689082
138	0.2532527699
139	0.2520577747
140	0.2504108236
141	0.2474795402
142	0.246475913
143	0.2437562044
144	0.2428629178
145	0.240168063
146	0.2381940873
147	0.2367977628
148	0.2349938932
149	0.2335697674
150	0.2316359491
151	0.2297185873
152	0.2276721492
153	0.2262490196
154	0.2247348315
155	0.2229114272
156	0.2218721505
157	0.2197230315
158	0.2179635472
159	0.2157585244
160	0.2145495403
161	0.2137933366
162	0.2123967218
163	0.2115130455
164	0.2107290291
165	0.2097606497
166	0.2085365654
167	0.2070904117
168	0.2054968784
169	0.2042155646
170	0.2035101747
171	0.2015645884
172	0.1995277355
173	0.1979363277
174	0.1969177135
175	0.1962485598
176	0.1952465317
177	0.1943776026
178	0.1934190999
179	0.192403261
180	0.1915058814
181	0.1907272251
182	0.1893470108
183	0.1879340994
184	0.1873493315
185	0.1863167326
186	0.1843577448
187	0.1835098252
188	0.1813324412
189	0.1803858195
190	0.1794823556
191	0.1783206306
192	0.1776846517
193	0.1764841692
194	0.1756270834
195	0.175259938
196	0.1739579884
197	0.1726959715
198	0.1709575268
199	0.1694658826
