iter	Passed	Remaining
0	744	148061
1	1270	125730
2	1948	127956
3	2707	132685
4	3522	137393
5	4332	140078
6	5078	140014
7	5776	138631
8	6351	134789
9	6847	130108
10	7282	125119
11	7819	122502
12	8327	119782
13	8861	117737
14	9353	115362
15	9843	113199
16	10335	111261
17	10837	109582
18	11388	108490
19	11944	107503
20	12485	106419
21	13049	105581
22	13549	104275
23	14046	103005
24	14498	101489
25	14936	99956
26	15358	98408
27	15804	97083
28	16344	96377
29	16801	95208
30	17268	94141
31	17765	93267
32	18303	92625
33	18862	92094
34	19341	91182
35	19826	90321
36	20279	89339
37	20728	88370
38	21158	87345
39	21837	87351
40	22382	86802
41	22842	85929
42	23310	85110
43	23756	84228
44	24217	83416
45	24660	82558
46	25095	81692
47	25520	80815
48	25961	80003
49	26449	79349
50	26886	78550
51	27356	77860
52	27802	77112
53	28235	76339
54	28672	75590
55	29098	74824
56	29531	74088
57	29969	73372
58	30410	72675
59	30842	71965
60	31273	71262
61	31705	70571
62	32122	69853
63	32544	69157
64	32970	68476
65	33397	67807
66	33825	67145
67	34277	66539
68	34774	66020
69	35219	65407
70	35673	64814
71	36104	64185
72	36553	63592
73	37013	63023
74	37456	62428
75	37897	61832
76	38320	61213
77	38738	60590
78	39167	59991
79	39609	59414
80	40042	58827
81	40538	58336
82	41035	57844
83	41546	57373
84	42056	56899
85	42539	56389
86	42986	55832
87	43466	55321
88	43902	54754
89	44389	54254
90	44864	53738
91	45347	53233
92	45825	52724
93	46315	52227
94	46769	51692
95	47244	51181
96	47785	50741
97	48274	50245
98	48789	49775
99	49264	49264
100	49709	48725
101	50136	48170
102	50601	47654
103	51060	47132
104	51480	46577
105	51890	46016
106	52291	45449
107	52689	44883
108	53107	44337
109	53552	43815
110	53966	43270
111	54390	42735
112	54812	42200
113	55223	41659
114	55633	41120
115	56039	40580
116	56462	40054
117	56914	39550
118	57341	39030
119	57800	38533
120	58223	38013
121	58681	37517
122	59208	37065
123	59692	36585
124	60144	36086
125	60608	35595
126	61108	35125
127	61613	34657
128	62046	34149
129	62459	33632
130	62865	33112
131	63287	32602
132	63680	32079
133	64067	31555
134	64472	31042
135	64881	30532
136	65282	30020
137	65697	29516
138	66112	29013
139	66537	28516
140	66954	28016
141	67394	27527
142	67843	27042
143	68254	26543
144	68754	26079
145	69242	25610
146	69669	25118
147	70073	24620
148	70513	24135
149	70970	23656
150	71424	23177
151	71860	22692
152	72371	22231
153	72851	21760
154	73381	21304
155	73858	20831
156	74319	20355
157	74744	19868
158	75176	19385
159	75583	18895
160	75991	18407
161	76403	17921
162	76800	17433
163	77333	16975
164	77785	16499
165	78384	16054
166	78818	15574
167	79343	15113
168	79857	14648
169	80290	14168
170	80730	13691
171	81166	13213
172	81656	12744
173	82120	12270
174	82603	11800
175	83087	11330
176	83547	10856
177	84019	10384
178	84505	9914
179	84953	9439
180	85416	8966
181	85890	8494
182	86387	8025
183	86812	7548
184	87348	7082
185	87781	6607
186	88274	6136
187	88751	5665
188	89238	5193
189	89941	4733
190	90453	4262
191	91017	3792
192	91455	3317
193	92048	2846
194	92682	2376
195	93315	1904
196	93892	1429
197	94459	954
198	95051	477
199	95506	0
